% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.250       16.587609       2.3970818       554.24847
0.250       17.090264       2.2566203       570.65688
0.250       17.592919       2.1711969       598.93980
0.250       18.095574       2.1089490       633.07245
0.250       18.598229       2.0177631       657.58997
0.250       19.100883       1.8956970       669.26719
0.250       19.603538       1.7981032       686.25933
0.250       20.106193       1.7594212       724.48537
0.250       20.608848       1.6724129       741.60886
0.250       21.111503       1.6077655       766.39099
0.250       21.614157       1.5529545       794.40859
0.250       22.116812       1.5011524       822.74004
0.250       22.619467       1.4376641       842.89756
0.250       23.122122       1.4064843       880.82214
0.250       23.624777       1.3486961       900.92265
0.250       24.127432       1.2964712       922.50004
0.250       24.630086       1.2433440       941.15112
0.250       25.132741       1.2317550       990.63616
0.250       25.635396       1.1889566       1014.7437
0.250       26.138051       1.1475356       1038.1402
0.250       26.640706       1.1135795       1066.6665
0.250       27.143361       1.0933005       1107.6451
0.250       27.646015       1.0415510       1114.9321
0.250       28.148670       1.0280217       1161.5721
0.250       28.651325      0.99587874       1186.6178
0.250       29.153980      0.97307178       1221.5428
0.250       29.656635      0.94811513       1252.8438
0.250       30.159289      0.92812626       1289.8542
0.250       30.661944      0.90564866       1322.6017
0.250       31.164599      0.89013843       1364.9365
0.250       31.667254      0.84860880       1365.2400
0.250       32.169909      0.83391075       1406.4987
0.250       33.175218      0.80949997       1497.3677
0.250       34.180528      0.76362563       1544.8526
0.250       35.185838      0.73760287       1627.7831
0.250       36.191147      0.70906178       1702.7912
0.250       37.196457      0.69022625       1799.5605
0.250       38.201767      0.65399365       1847.1158
0.250       39.207076      0.63640575       1943.1115
0.250       40.212386      0.60320420       1987.0744
0.250       41.217696      0.59312899       2104.1202
0.250       42.223005      0.57847777       2205.9941
0.250       43.228315      0.55312103       2263.5774
0.250       44.233625      0.53991942       2367.3190
0.250       45.238934      0.51467156       2414.0015
0.250       46.244244      0.50737735       2541.9932
0.250       47.249554      0.49486511       2644.5405
0.250       48.254863      0.47289932       2691.9204
0.250       49.260173      0.46730693       2829.8295
0.250       50.265482      0.45105789       2902.0982
0.250       51.270792      0.44086216       3010.1155
0.250       52.276102      0.42384256       3067.4988
0.250       53.281411      0.41848680       3206.8540
0.250       54.286721      0.40815124       3308.0511
0.250       55.292031      0.39124544       3350.4811
0.250       56.297340      0.38594090       3488.6283
0.250       57.302650      0.37979162       3620.2600
0.250       58.307960      0.37621668       3778.2600
0.250       59.313269      0.36482930       3856.6973
0.250       60.318579      0.35930542       3994.7291
0.250       61.323889      0.35006035       4089.8016
0.250       62.329198      0.34336381       4212.1070
0.250       63.334508      0.33497602       4311.2696
0.250       64.339818      0.32821395       4428.6032
0.250       66.350437      0.31911103       4722.1897
0.250       68.361056      0.31150464       5041.5151
0.250       70.371675      0.29738441       5250.2760
0.250       72.382295      0.28133925       5405.0240
0.250       74.392914      0.27603661       5757.4697
0.250       76.403533      0.26896832       6077.3146
0.250       78.414153      0.26224705       6405.6651
0.250       80.424772      0.25376568       6687.6365
0.250       82.435391      0.24941081       7078.2622
0.250       84.446011      0.23781988       7255.3075
0.250       86.456630      0.23258885       7614.7220
0.250       88.467249      0.22698075       7961.7193
0.250       90.477868      0.22001115       8255.4744
0.250       92.488488      0.21988225       8812.9940
0.250       94.499107      0.21149297       9041.6836
0.250       96.509726      0.20822154       9482.2010
0.250       98.520346      0.20058387       9717.2650
0.250       100.53096      0.19827268       10205.463
0.250       102.54158      0.19408145       10601.184
0.250       104.55220      0.18932925       10961.943
0.250       106.56282      0.18722846       11477.816
0.250       108.57344      0.18034991       11693.837
0.250       110.58406      0.17639332       12084.537
0.250       112.59468      0.17570164       12705.732
0.250       114.60530      0.17082842       13027.002
0.250       116.61592      0.16866903       13551.243
0.250       118.62654      0.16416903       13883.759
0.250       120.63716      0.16196124       14405.378
0.250       122.64778      0.15920721       14880.312
