% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.125       94.499107     0.025170702       1076.0903
0.125       96.509726     0.023609153       1075.1373
0.125       98.520346     0.022523734       1091.1600
0.125       100.53096     0.021173420       1089.8352
0.125       102.54158     0.020075513       1096.5716
0.125       104.55220     0.018869925       1092.5467
0.125       106.56282     0.017588788       1078.2596
0.125       108.57344     0.016874159       1094.1156
0.125       110.58406     0.016016949       1097.3057
0.125       112.59468     0.014609504       1056.4753
0.125       114.60530     0.014107845       1075.8335
0.125       116.61592     0.013204373       1060.8685
0.125       118.62654     0.012445893       1052.5480
0.125       120.63716     0.011902254       1058.6265
0.125       122.64778     0.011178460       1044.7955
0.125       124.65840     0.010608421       1041.0836
0.125       126.66902     0.010265849       1057.0032
0.125       128.67964    0.0097673406       1054.3288
0.125       132.70087    0.0084136795       996.04182
0.125       136.72211    0.0076876065       995.35427
0.125       140.74335    0.0072393954       1022.4833
0.125       144.76459    0.0063795623       980.50129
0.125       148.78583    0.0059528177       993.29338
0.125       152.80707    0.0055950630       1011.3595
0.125       156.82831    0.0049964808       976.35517
0.125       160.84954    0.0044182821       931.50073
0.125       164.87078    0.0040292495       914.79865
0.125       168.89202    0.0035845482       874.84695
0.125       172.91326    0.0033383661       874.35764
0.125       176.93450    0.0030191653       847.21710
0.125       180.95574    0.0027445744       823.87693
0.125       184.97698    0.0027028951       866.66742
0.125       188.99821    0.0025438406       870.02804
0.125       193.01945    0.0022449738       817.87095
0.125       197.04069    0.0020649652       800.29622
0.125       201.06193    0.0019054415       784.61286
0.125       205.08317    0.0018688971       816.66831
0.125       209.10441    0.0017073120       790.81103
0.125       213.12565    0.0014990958       735.20218
0.125       217.14688    0.0014326384       743.13487
0.125       221.16812    0.0013158723       721.19314
0.125       225.18936    0.0011727633       678.45995
0.125       229.21060    0.0012237124       746.54108
0.125       233.23184    0.0010268217       659.97698
0.125       237.25308    0.0010262556       694.32267
0.125       241.27432    0.0010352741       736.64608
0.125       245.29555   0.00097958665       732.45703
0.125       249.31679   0.00087226628       684.81606
0.125       253.33803   0.00075119936       618.76628
0.125       257.35927   0.00071454245       617.04629
0.125       265.40175   0.00061294709       580.50315
0.125       273.44422   0.00041351833       428.32289
0.125       281.48670   0.00050672804       572.55715
0.125       289.52918   0.00064650335       794.91018
0.125       297.57166   0.00053280017       711.22874
0.125       305.61413   0.00033525611       484.80519
0.125       313.65661   0.00027828668       435.03682
0.125       321.69909   0.00038759401       653.72758
0.125       329.74156   0.00035711029       648.62504
0.125       337.78404   0.00040745312       795.54600
0.125       345.82652   0.00027154148       568.95946
0.125       353.86900   0.00017631140       395.80219
0.125       361.91147   0.00010937901       262.67050
0.125       369.95395   0.00024363815       624.96913
0.125       377.99643   0.00020316516       555.88196
0.125       386.03891   0.00015776669       459.81040
0.125       394.08138   0.00013283185       411.84163
0.125       402.12386   0.00012985047       427.75323
0.125       410.16634   0.00010098195       353.01572
0.125       418.20881   0.00018694792       692.74028
0.125       426.25129   6.7781162e-05       265.93555
0.125       434.29377   0.00019093867       792.34614
0.125       442.33625   0.00014876279       652.26210
0.125       450.37872   2.2938037e-05       106.15980
0.125       458.42120   4.1121995e-05       200.69591
0.125       466.46368   0.00019032630       978.63908
0.125       474.50615   8.9897362e-05       486.56712
0.125       482.54863   0.00011284488       642.35540
0.125       490.59111   0.00011614687       694.76316
0.125       498.63359   0.00010202481       640.79726
0.125       506.67606   0.00016219476       1068.8044
0.125       514.71854   0.00014217816       982.22864
0.250     0.062831853       1936.2215     0.024331277
0.250      0.12566371       2992.9937      0.30088855
0.250      0.18849556       1204.7727      0.40876974
0.250      0.25132741       950.11734      0.76412970
0.250      0.31415927       679.47470       1.0673164
0.250      0.37699112       512.38888       1.3907956
0.250      0.43982297       419.23677       1.8070216
0.250      0.50265482       368.69980       2.3722078
0.250      0.56548668       308.46646       2.8258256
0.250      0.62831853       285.69401       3.5901368
0.250      0.69115038       256.67269       4.2930661
0.250      0.75398224       232.22388       5.0426693
0.250      0.81681409       221.29960       6.1097092
0.250      0.87964594       207.38402       7.1510410
0.250      0.94247780       192.91468       8.1818009
0.250       1.0053096       178.67981       9.1969809
0.250       1.0681415       167.78493       10.358803
0.250       1.1309734       148.84364       10.908314
0.250       1.1938052       150.76662       12.994987
0.250       1.2566371       134.82137       13.553723
0.250       1.3194689       134.19288       15.616986
0.250       1.3823008       130.67873       17.485692
0.250       1.4451326       124.36383       19.014612
0.250       1.5079645       114.50026       19.890700
0.250       1.5707963       111.05508       21.805615
0.250       1.6336282       106.27745       23.473132
0.250       1.6964600       98.866774       24.454091
0.250       1.7592919       96.104521       26.511102
0.250       1.8221237       91.208812       27.953787
0.250       1.8849556       89.534951       30.378493
0.250       1.9477874       86.063058       32.218975
0.250       2.0106193       82.278302       33.880134
0.250       2.0734512       79.777110       36.027156
0.250       2.1362830       75.739747       37.408515
0.250       2.1991149       72.706334       39.172947
0.250       2.2619467       70.978544       41.614478
0.250       2.3247786       67.631810       43.049295
0.250       2.3876104       65.582111       45.221612
0.250       2.4504423       62.621233       46.679403
0.250       2.5132741       60.755239       48.862262
0.250       2.5761060       57.224622       49.561491
0.250       2.6389378       55.767865       51.920845
0.250       2.7017697       52.905012       52.858160
0.250       2.7646015       52.726839       56.441641
0.250       2.8274334       50.731777       58.093492
0.250       2.8902652       48.358251       59.149891
0.250       2.9530971       47.903175       62.498232
0.250       3.0159289       46.179811       64.177933
0.250       3.0787608       43.994223       65.041980
0.250       3.1415927       43.023264       67.580786
0.250       3.2044245       41.192882       68.666129
0.250       3.2672564       39.724218       70.190002
0.250       3.3300882       38.960059       72.888175
0.250       3.3929201       37.434720       74.073989
0.250       3.4557519       36.947931       77.248144
0.250       3.5185838       35.494343       78.330895
0.250       3.5814156       34.468805       80.215936
0.250       3.6442475       33.289959       81.621976
0.250       3.7070793       32.838046       84.750684
0.250       3.7699112       31.573429       85.700897
0.250       3.8327430       30.582162       87.230338
0.250       3.8955749       30.029984       89.937338
0.250       3.9584067       29.325987       92.147626
0.250       4.0212386       28.536694       94.005538
0.250       4.1469023       26.615070       96.154428
0.250       4.2725660       25.808613       101.97677
0.250       4.3982297       24.633121       106.17528
0.250       4.5238934       23.077286       108.24107
0.250       4.6495571       22.005546       112.05653
0.250       4.7752208       21.158474       116.71724
0.250       4.9008845       20.262812       120.83518
0.250       5.0265482       19.412026       124.89662
0.250       5.1522120       18.070833       125.20729
0.250       5.2778757       17.428631       129.81085
0.250       5.4035394       16.695172       133.44310
0.250       5.5292031       16.092938       137.81396
0.250       5.6548668       15.290390       140.07350
0.250       5.7805305       14.594985       142.81604
0.250       5.9061942       14.101606       147.18448
0.250       6.0318579       13.644208       151.69522
0.250       6.1575216       12.988788       153.62317
0.250       6.2831853       12.453577       156.49627
0.250       6.4088490       11.833533       157.80647
0.250       6.5345127       11.551377       163.28400
