% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.125       104.55220      0.14153627       8194.7850
0.125       106.56282      0.13843222       8486.4214
0.125       108.57344      0.13361601       8663.6239
0.125       110.58406      0.13192168       9037.8270
0.125       112.59468      0.12972738       9381.1380
0.125       114.60530      0.12536998       9560.4408
0.125       116.61592      0.12359720       9930.0722
0.125       118.62654      0.11999471       10147.941
0.125       120.63716      0.11965960       10642.928
0.125       122.64778      0.11675975       10912.957
0.125       124.65840      0.11502177       11287.946
0.125       126.66902      0.11156965       11487.553
0.125       128.67964      0.11105821       11988.101
0.125       132.70087      0.10527918       12463.330
0.125       136.72211      0.10248326       13269.040
0.125       140.74335     0.098799597       13954.333
0.125       144.76459     0.095915811       14741.697
0.125       148.78583     0.090209808       15052.503
0.125       152.80707     0.089325141       16146.347
0.125       156.82831     0.087944723       17185.153
0.125       160.84954     0.084487792       17812.453
0.125       164.87078     0.082312253       18688.130
0.125       168.89202     0.079821201       19481.210
0.125       172.91326     0.076605132       20063.792
0.125       176.93450     0.075699034       21242.134
0.125       180.95574     0.072918629       21888.995
0.125       184.97698     0.071333748       22872.747
0.125       188.99821     0.069203955       23668.693
0.125       193.01945     0.068286549       24877.610
0.125       197.04069     0.065832177       25513.864
0.125       201.06193     0.064864607       26709.613
0.125       205.08317     0.063039841       27547.071
0.125       209.10441     0.061056900       28280.988
0.125       213.12565     0.058877527       28875.330
0.125       217.14688     0.058394428       30290.223
0.125       221.16812     0.057480140       31503.273
0.125       225.18936     0.056929204       32934.341
0.125       229.21060     0.055067014       33594.322
0.125       233.23184     0.053695548       34512.153
0.125       237.25308     0.052588573       35579.284
0.125       241.27432     0.051193203       36426.365
0.125       245.29555     0.050408283       37691.307
0.125       249.31679     0.049303527       38708.188
0.125       253.33803     0.048114204       39631.886
0.125       257.35927     0.047357681       40895.934
0.125       265.40175     0.044873903       42498.679
0.125       273.44422     0.045167776       46784.849
0.125       281.48670     0.042054832       47518.181
0.125       289.52918     0.039924976       49089.876
0.125       297.57166     0.038951359       51995.715
0.125       305.61413     0.037750454       54589.956
0.125       313.65661     0.036357527       56836.579
0.125       321.69909     0.035163189       59307.279
0.125       329.74156     0.034219964       62154.260
0.125       337.78404     0.032465712       63388.807
0.125       345.82652     0.031712562       66447.168
0.125       353.86900     0.030579770       68648.652
0.125       361.91147     0.029493985       70828.944
0.125       369.95395     0.028664054       73527.683
0.125       377.99643     0.027885172       76296.863
0.125       386.03891     0.026969513       78602.540
0.125       394.08138     0.026063152       80808.111
0.125       402.12386     0.025097582       82676.421
0.125       410.16634     0.024166886       84483.324
0.125       418.20881     0.023425413       86803.465
0.125       426.25129     0.023057751       90465.779
0.125       434.29377     0.022520413       93453.895
0.125       442.33625     0.021803416       95598.786
0.125       450.37872     0.020768316       96118.092
0.125       458.42120     0.020229988       98732.461
0.125       466.46368     0.019763493       101621.93
0.125       474.50615     0.019030920       103004.36
0.125       482.54863     0.018485727       105227.69
0.125       490.59111     0.018160763       108633.40
0.125       498.63359     0.017336428       108886.61
0.125       506.67606     0.016828693       110894.96
0.125       514.71854     0.016419632       113433.97
0.250     0.062831853       1937.0392     0.024341553
0.250      0.12566371       2993.6035      0.30094985
0.250      0.18849556       1204.4357      0.40865540
0.250      0.25132741       949.61474      0.76372549
0.250      0.31415927       678.64002       1.0660053
0.250      0.37699112       511.44579       1.3882357
0.250      0.43982297       418.10779       1.8021554
0.250      0.50265482       367.40028       2.3638467
0.250      0.56548668       307.45589       2.8165678
0.250      0.62831853       284.20276       3.5713973
0.250      0.69115038       255.28598       4.2698723
0.250      0.75398224       230.79411       5.0116221
0.250      0.81681409       219.53438       6.0609747
0.250      0.87964594       205.82685       7.0973463
0.250      0.94247780       190.94647       8.0983263
0.250       1.0053096       176.82286       9.1014006
0.250       1.0681415       165.83476       10.238402
0.250       1.1309734       147.09066       10.779844
0.250       1.1938052       148.63855       12.811563
0.250       1.2566371       133.03502       13.374138
0.250       1.3194689       132.27024       15.393235
0.250       1.3823008       128.85392       17.241520
0.250       1.4451326       122.45216       18.722327
0.250       1.5079645       112.88059       19.609334
0.250       1.5707963       109.45262       21.490971
