% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.125       418.20881    0.0020011056       7415.1477
0.125       426.25129    0.0018455399       7240.8712
0.125       434.29377    0.0017605349       7305.7650
0.125       442.33625    0.0018346870       8044.3291
0.125       450.37872    0.0018394706       8513.2756
0.125       458.42120    0.0016089071       7852.2716
0.125       466.46368    0.0016095588       8276.1929
0.125       474.50615    0.0015588350       8437.1537
0.125       482.54863    0.0015052522       8568.4606
0.125       490.59111    0.0014747731       8821.7448
0.125       498.63359    0.0012959191       8139.4067
0.125       506.67606    0.0013532903       8917.6905
0.125       514.71854    0.0012199361       8427.8494
0.250     0.062831853       1936.2905     0.024332144
0.250      0.12566371       2989.5719      0.30054455
0.250      0.18849556       1200.8179      0.40742793
0.250      0.25132741       944.85737      0.75989938
0.250      0.31415927       673.10626       1.0573128
0.250      0.37699112       505.75890       1.3727996
0.250      0.43982297       411.51759       1.7737499
0.250      0.50265482       360.04257       2.3165073
0.250      0.56548668       299.63585       2.7449293
0.250      0.62831853       275.77685       3.4655141
0.250      0.69115038       246.63011       4.1250956
0.250      0.75398224       221.66697       4.8134293
0.250      0.81681409       209.94419       5.7962055
0.250      0.87964594       195.56947       6.7436500
0.250      0.94247780       180.90933       7.6726364
0.250       1.0053096       166.76390       8.5836473
0.250       1.0681415       155.48195       9.5992349
0.250       1.1309734       137.35959       10.066683
0.250       1.1938052       137.96661       11.891720
0.250       1.2566371       122.76213       12.341395
0.250       1.3194689       121.43289       14.132014
0.250       1.3823008       117.79449       15.761694
0.250       1.4451326       111.41238       17.034399
0.250       1.5079645       102.43023       17.793925
0.250       1.5707963       98.782216       19.395843
0.250       1.6336282       94.145343       20.793555
0.250       1.6964600       87.093991       21.542165
0.250       1.7592919       84.295198       23.253418
0.250       1.8221237       79.457527       24.352239
0.250       1.8849556       77.817450       26.402839
0.250       1.9477874       74.561771       27.913298
0.250       2.0106193       70.915910       29.201387
0.250       2.0734512       68.563926       30.963308
0.250       2.1362830       64.955334       32.082000
0.250       2.1991149       62.178374       33.500660
0.250       2.2619467       60.452871       35.443312
0.250       2.3247786       57.436975       36.560035
0.250       2.3876104       55.390687       38.194199
0.250       2.4504423       52.671869       39.262904
0.250       2.5132741       50.920171       40.952431
0.250       2.5761060       47.757647       41.362269
0.250       2.6389378       46.359517       43.161510
0.250       2.7017697       43.951475       43.912553
0.250       2.7646015       43.612369       46.685022
0.250       2.8274334       41.801839       47.867725
0.250       2.8902652       39.794556       48.675119
0.250       2.9530971       39.266802       51.230544
0.250       3.0159289       37.672744       52.355322
0.250       3.0787608       35.731572       52.826304
0.250       3.1415927       34.862216       54.761441
0.250       3.2044245       33.284017       55.482514
0.250       3.2672564       32.008368       56.556618
0.250       3.3300882       31.236865       58.439287
0.250       3.3929201       29.883216       59.131443
0.250       3.4557519       29.456548       61.585686
0.250       3.5185838       28.214588       62.265526
0.250       3.5814156       27.296196       63.523813
0.250       3.6442475       26.302389       64.489504
0.250       3.7070793       25.906701       66.861791
0.250       3.7699112       24.846148       67.440796
0.250       3.8327430       23.990845       68.429743
0.250       3.8955749       23.478253       70.315443
0.250       3.9584067       22.815117       71.689279
0.250       4.0212386       22.215419       73.182004
0.250       4.1469023       20.574932       74.332731
0.250       4.2725660       19.812440       78.284279
0.250       4.3982297       18.837842       81.196092
0.250       4.5238934       17.565050       82.386632
0.250       4.6495571       16.618049       84.622346
0.250       4.7752208       15.988834       88.199767
0.250       4.9008845       15.251858       90.952876
0.250       5.0265482       14.536635       93.528443
0.250       5.1522120       13.518191       93.663418
0.250       5.2778757       13.001659       96.838151
0.250       5.4035394       12.391247       99.042190
0.250       5.5292031       11.944864       102.29139
0.250       5.6548668       11.252477       103.08264
0.250       5.7805305       10.740747       105.10124
0.250       5.9061942       10.403713       108.58799
0.250       6.0318579       10.005416       111.23942
0.250       6.1575216       9.4272659       111.49974
0.250       6.2831853       9.0964771       114.30970
0.250       6.4088490       8.6498903       115.35090
0.250       6.5345127       8.3674732       118.27807
0.250       6.6601764       8.0929659       121.12539
0.250       6.7858401       7.8284279       123.92408
0.250       6.9115038       7.5133048       125.66633
0.250       7.0371675       7.3184017       129.20525
0.250       7.1628313       6.9414485       129.23333
0.250       7.2884950       6.7112482       131.63978
0.250       7.4141587       6.5446322       135.12669
0.250       7.5398224       6.2733032       136.22282
0.250       7.6654861       6.1068982       139.35098
